IR F19 64162982
2020-02-08 15:16:59,243 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/content/richard-n-taylor-fellowship-software-engineering-established-0, status <404>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:59,265 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/happenings/spotlight, status <404>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:59,287 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/happenings/announcements, status <404>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:59,308 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/publications/dissertations, status <404>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:59,328 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/people/students, status <404>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:59,349 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/content/andrew-t-campbell, status <404>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:59,375 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/happenings/student-updates, status <404>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:59,399 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/content/fault-comprehension, status <404>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:59,428 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/isr-events/conferences, status <404>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:59,451 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/happenings/director, status <404>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:59,473 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/dss, status <404>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:59,499 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/happenings/hot-research, status <404>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:59,522 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/partnerships/sponsorship, status <404>, using cache ('styx.ics.uci.edu', 9009).
